schema	papersoccer.opening-bank.v1
phase	test
depth	20
pairs	26
rules	8x10;opponent_goal_only;player_to_move_loses
generator	uniform-legal-move-generator/v1
generator_seed	3336968612918225993
selection	splitmix64-unbiased-rejection-sampling/v1
state_hash_algorithm	sha256-canonical-game-state/v1
canonicalization	horizontal-reflection-min-serialization-sha256/v1
opening_ply_definition	one physical selected edge, including rebound edges
opening_id	phase	depth	generation_seed	state_hash	canonical_key	to_move	moves
test-d20-f47399cdf95f9f4c87d66c67ea48460d82e741d4a84d9664150cada833f7d844	test	20	11168737454042874433	f47399cdf95f9f4c87d66c67ea48460d82e741d4a84d9664150cada833f7d844	f47399cdf95f9f4c87d66c67ea48460d82e741d4a84d9664150cada833f7d844	one	5,5;4,5;3,5;2,5;2,4;3,5;4,4;5,3;6,3;5,2;4,3;4,4;5,4;5,3;4,3;3,2;2,2;1,1;1,2;2,2
test-d20-c2d4622269ae73a8de67fb3b479090441513c8b2c3782174b71804dc6cffe2ad	test	20	322918358609686042	c2d4622269ae73a8de67fb3b479090441513c8b2c3782174b71804dc6cffe2ad	c2d4622269ae73a8de67fb3b479090441513c8b2c3782174b71804dc6cffe2ad	one	3,6;4,5;3,4;3,5;2,4;3,4;4,4;3,5;2,5;1,6;0,5;1,5;0,6;1,7;0,7;1,6;2,7;3,6;3,7;4,6
test-d20-110bb43b9554175762e69725fa479e0a10f248b9920ff4c1498c909b984fd64c	test	20	5430427854230008921	110bb43b9554175762e69725fa479e0a10f248b9920ff4c1498c909b984fd64c	5fce9cac4efdf78199b87c813a46072b2f34856cd3442d92386bc0a264b1200d	one	3,6;4,7;3,7;4,8;5,9;4,10;3,10;3,11;4,10;5,11;6,10;6,9;7,9;6,8;5,8;6,9;5,10;4,10;4,9;5,8
test-d20-d8ba4cddde92669d1f3b023d89cb70f9627faee679596160ce81b76f8092d65c	test	20	7205489016458108618	d8ba4cddde92669d1f3b023d89cb70f9627faee679596160ce81b76f8092d65c	d8ba4cddde92669d1f3b023d89cb70f9627faee679596160ce81b76f8092d65c	one	3,5;4,4;3,4;2,4;1,4;0,4;1,3;1,4;2,3;3,3;2,4;1,5;0,5;1,6;2,5;2,6;3,5;2,4;2,5;3,4
test-d20-d3959066a3cfd588d68907f76441374bc790f3acad16f0bc4acbb5546fc39cb3	test	20	13672725521212243912	d3959066a3cfd588d68907f76441374bc790f3acad16f0bc4acbb5546fc39cb3	d3959066a3cfd588d68907f76441374bc790f3acad16f0bc4acbb5546fc39cb3	two	4,5;3,4;2,4;3,3;4,4;5,4;4,5;5,5;4,6;5,7;5,8;4,9;3,9;3,8;4,9;4,10;5,11;5,10;4,10;4,11
test-d20-5ec7a012661cdf8b08cb2394f75436471f3c7c1da6ca9f94ace3b21274dbd5c3	test	20	15167405174497777517	5ec7a012661cdf8b08cb2394f75436471f3c7c1da6ca9f94ace3b21274dbd5c3	dbae30649f7a29313dbc023ea54e2f78cae6d16c6ce65a2cc72f26110d763d36	two	5,6;5,5;4,6;3,6;3,5;4,6;5,7;5,6;4,7;5,8;6,9;7,10;6,11;5,10;4,9;3,9;3,8;4,9;5,9;4,8
test-d20-f00e594c5bf9a2942491ff9e3105a834237f2bd137ca1a0af04da18b4eec9c74	test	20	5506440177317922164	f00e594c5bf9a2942491ff9e3105a834237f2bd137ca1a0af04da18b4eec9c74	3b4e66ef2eded55f189544fb4b7df5c3bc7ba103096b79eb090bb737b6ca9cf4	one	4,7;5,6;6,7;6,6;5,5;5,4;4,4;4,3;5,4;6,4;5,3;5,2;6,1;6,2;5,2;4,1;4,2;4,3;5,3;5,4
test-d20-39368e5d5f14bb6daba8baafca9f32b1338e8b805fdab859608742c443c3e32e	test	20	14977840305690212411	39368e5d5f14bb6daba8baafca9f32b1338e8b805fdab859608742c443c3e32e	39368e5d5f14bb6daba8baafca9f32b1338e8b805fdab859608742c443c3e32e	one	3,7;2,6;1,7;1,6;0,6;1,5;1,4;2,4;3,4;3,3;3,2;2,2;1,1;1,2;0,3;1,4;2,5;1,6;0,7;1,8
test-d20-2e67ad550e5b5ff4b8b527cb4ab117be7973ed97a56b6876605d13dc2a28fd16	test	20	5590370285960626753	2e67ad550e5b5ff4b8b527cb4ab117be7973ed97a56b6876605d13dc2a28fd16	a33ac20102ddaeee42d06ae44bd0ec637f106776243af9b6cdc05cbdaaa50b35	one	5,6;4,7;3,8;2,7;1,6;2,5;3,5;3,4;4,3;4,2;5,2;6,3;7,3;8,3;7,2;7,1;8,2;7,3;7,4;6,5
test-d20-e756a0cde9c8f747d96a9f6db38656da990e634c0ec7cbbb91bd22fa466751ec	test	20	2045396891417738356	e756a0cde9c8f747d96a9f6db38656da990e634c0ec7cbbb91bd22fa466751ec	e756a0cde9c8f747d96a9f6db38656da990e634c0ec7cbbb91bd22fa466751ec	two	3,5;4,4;5,4;4,5;4,6;5,5;6,4;5,4;4,3;3,2;3,1;4,1;3,2;2,3;3,3;3,4;2,3;2,2;3,3;3,2
