schema	papersoccer.opening-bank.v1
phase	development
depth	12
pairs	38
rules	8x10;opponent_goal_only;player_to_move_loses
generator	uniform-legal-move-generator/v1
generator_seed	11025886481058993262
selection	splitmix64-unbiased-rejection-sampling/v1
state_hash_algorithm	sha256-canonical-game-state/v1
canonicalization	horizontal-reflection-min-serialization-sha256/v1
opening_ply_definition	one physical selected edge, including rebound edges
opening_id	phase	depth	generation_seed	state_hash	canonical_key	to_move	moves
development-d12-f29e46545dee3a3b09e0f7568e2fa5a587a3b566a0a7a1daf85aef0f485233f8	development	12	12066752054676598300	f29e46545dee3a3b09e0f7568e2fa5a587a3b566a0a7a1daf85aef0f485233f8	f29e46545dee3a3b09e0f7568e2fa5a587a3b566a0a7a1daf85aef0f485233f8	one	5,7;4,7;3,6;2,6;1,6;0,6;1,5;2,5;1,6;1,5;0,4;1,4
development-d12-872ee367f4e0dcecb0ce48c65d176e242e985ed0d2899f98bc93bc041ac56e4d	development	12	3492520840006068486	872ee367f4e0dcecb0ce48c65d176e242e985ed0d2899f98bc93bc041ac56e4d	2df7a870cf7a76fa82264b8188cd49823c1f391d331b4cebedf4c8aa340ff139	one	4,5;5,4;6,3;5,3;4,3;4,2;3,3;4,3;5,4;6,5;5,6;6,7
development-d12-dd9889eb46116fb7d422a06460b7d42533cb3a9a9dd114e231e2802ff2bcf2e0	development	12	14253019483983194591	dd9889eb46116fb7d422a06460b7d42533cb3a9a9dd114e231e2802ff2bcf2e0	3fe53be7144f417624f59ba3609649ad05f299eb6b72ba6cc986fa7e4e83caad	one	4,7;5,8;5,7;4,7;3,8;2,8;3,9;3,8;4,8;4,9;5,9;5,10
development-d12-e037cf49cd0576e6e5650e6d63924d7a3b62203e29218eca34a98fc5b5d26a02	development	12	13075670566347413056	e037cf49cd0576e6e5650e6d63924d7a3b62203e29218eca34a98fc5b5d26a02	e037cf49cd0576e6e5650e6d63924d7a3b62203e29218eca34a98fc5b5d26a02	two	3,5;2,4;1,4;2,5;1,5;2,4;1,3;1,2;0,2;1,1;1,2;2,1
development-d12-fd098d0dc7c2664057760b9f12cc07dfa841a6c82677ed7aa4b472a922d27d91	development	12	15546727127796541692	fd098d0dc7c2664057760b9f12cc07dfa841a6c82677ed7aa4b472a922d27d91	fd098d0dc7c2664057760b9f12cc07dfa841a6c82677ed7aa4b472a922d27d91	one	4,7;4,8;5,8;4,7;3,7;2,6;1,6;0,5;1,4;2,3;1,3;2,4
development-d12-56e06acb6f3c82c07a4a4379e608036a543e438074a38e3baa23351e5732fcf3	development	12	13406779114101030080	56e06acb6f3c82c07a4a4379e608036a543e438074a38e3baa23351e5732fcf3	a1445bad0ff8e6a62ef8af1b48b0889a56fa90d0ebd835d0d96b9f496da8c986	two	5,7;6,7;7,6;6,5;7,5;7,6;8,7;7,7;8,6;7,6;8,5;7,4
development-d12-575dfb5812004a5c6dd755e42da3a166d70a63612799f08c2f70f35ada0c2372	development	12	3423667968947887441	575dfb5812004a5c6dd755e42da3a166d70a63612799f08c2f70f35ada0c2372	575dfb5812004a5c6dd755e42da3a166d70a63612799f08c2f70f35ada0c2372	one	4,5;3,5;3,6;2,7;3,8;4,7;5,6;4,5;4,4;3,3;2,2;3,1
development-d12-287e5450b82fb6b29ba71e6331167e4094501aff42d9244d3c11910ad58ac638	development	12	7875738134565874208	287e5450b82fb6b29ba71e6331167e4094501aff42d9244d3c11910ad58ac638	d30bf95ca1baa728e88fecf7b46ede488761930609af39ffccf96773ef261d1e	one	4,7;5,8;5,7;6,7;6,8;7,9;8,9;7,8;7,7;8,6;7,5;6,6
development-d12-21ad225d0f08f96d9e46c5759df354c1f2a59898750f2f016423578adba594d2	development	12	17218122990904308536	21ad225d0f08f96d9e46c5759df354c1f2a59898750f2f016423578adba594d2	21ad225d0f08f96d9e46c5759df354c1f2a59898750f2f016423578adba594d2	two	5,6;4,5;5,4;4,4;3,4;4,5;4,6;3,7;2,6;2,7;1,6;2,6
development-d12-e797d2278bb977edeb99fa8ca8e9d3a34455a9ccc057c1e49f70f977799328c0	development	12	14880890887946733975	e797d2278bb977edeb99fa8ca8e9d3a34455a9ccc057c1e49f70f977799328c0	e797d2278bb977edeb99fa8ca8e9d3a34455a9ccc057c1e49f70f977799328c0	one	3,6;2,5;1,6;0,5;1,5;0,4;1,4;1,3;1,2;2,2;2,1;1,2
